"key","surface","context","en","zh","ja","notes"
"usage.helpTitle","Usage.Gauge","tooltip","How hosted usage works","代管用量的運作方式","ホスト版使用量の仕組み","? button aria-label + title"
"usage.reportsThisMonth","Usage.Gauge","body","Reports this month:","本月報告數:","今月のレポート数:","prefix; followed by <strong>{count}</strong>"
"usage.atLimit","Usage.Gauge","warning","Monthly hosted generation used — resets next month.","本月代管生成額度已用完 —— 下月重置。","今月のホスト版生成枠を使い切りました —— 来月リセットされます。","state note"
"usage.projected","Usage.Gauge","body","~{count} reports/month at your current prompt efficiency.","以你目前的提示詞效率,每月約 {count} 份報告。","現在のプロンプト効率では、月に約 {count} 件のレポートです。","interpolates count"
"usage.gaugeAriaLabel","Usage.Gauge","tooltip","Monthly hosted usage","每月代管用量","月間ホスト版使用量","progressbar aria-label"
"usage.guideAriaLabel","Usage.Guide","tooltip","Hosted usage guide","代管用量指南","ホスト版使用量ガイド","modal aria-label"
"usage.guideTitle","Usage.Guide","title","Hosted reports","代管報告","ホスト版レポート","modal H3"
"usage.guideP1","Usage.Guide","body","Hosted reports run on VHS's AI — no API key needed. Your plan includes generous monthly report generation.","代管報告在 VHS 的 AI 上執行 —— 不需 API 金鑰。你的方案已包含充裕的每月報告生成量。","ホスト版レポートはVHSのAIで実行され、APIキーは不要です。プランには十分な月間レポート生成量が含まれています。",""
"usage.guideP2","Usage.Guide","body","The leaner and more focused your prompts, the cheaper each report, so efficient prompts let you generate more reports per month. Tested with efficient prompts, you can produce at least 80 full IC memos per month (and 500+ quick memos).","提示詞越精簡、越聚焦,每份報告越省,因此高效的提示詞讓你每月能生成更多份。以高效提示詞實測,每月至少可產出 80 份完整 IC 備忘錄(以及 500+ 份快速備忘錄)。","プロンプトが簡潔で焦点が絞られているほど、各レポートのコストは下がり、効率的なプロンプトなら月あたりの生成数が増えます。効率的なプロンプトでの実測では、月に少なくとも80件のフルICメモ(および500件以上のクイックメモ)を作成できます。","numbers 80, 500 are hard-baked; wrap in <strong> in source"
"usage.guideP3","Usage.Guide","body","Watch the usage gauge to find your best setup.","留意用量計量表,找出最適合你的設定。","使用量ゲージを見ながら、自分に最適な設定を見つけてください。",""
"usage.guideAck","Usage.Guide","button","Got it","了解","了解","dismiss button"
"provider.local","Provider.Labels","option","Local (Ollama)","本機(Ollama)","ローカル(Ollama)","PROVIDER_LABELS['local']; 'Ollama' is a brand — keep"
"provider.vhs","Provider.Labels","option","VHS-hosted","VHS 代管","VHSホスト版","PROVIDER_LABELS['vhs']; brand + '-hosted'"
"provider.notConfigured","Provider.Labels","option"," (not configured)","（未設定）","（未設定）","appended to option label"
"provider.notLinked","Provider.Labels","option"," (not linked)","（未連結）","（未リンク）","appended to vhs option when unlinked"
"provider.runWith","Provider.Picker","option","Run with","使用供應商","実行プロバイダー","picker label above the select"
"byo.tag","Settings.BYO","badge","A","A","A","the tag in front of the option title"
"byo.title","Settings.BYO","title","Bring your own key","自備金鑰","自分のキーを使う","option title"
"byo.body","Settings.BYO","body","Anthropic / OpenAI API key stays on this Mac (macOS Keychain). Costs metered to your account.","Anthropic / OpenAI API 金鑰只留在這台 Mac(macOS Keychain)。費用計入你的帳戶。","Anthropic / OpenAI APIキーはこのMac(macOS Keychain)に保存されます。費用はご自身のアカウントに課金されます。","provider names Latin; 'macOS Keychain' is a proper noun — usually left in Latin, but JP has カタカナ conventions"
"byo.providerLabel","Settings.BYO","option","Provider","供應商","プロバイダー","select label"
"byo.apiKeyLabel","Settings.BYO","option","API key","API 金鑰","APIキー","input label"
"byo.showKey","Settings.BYO","button","Show","顯示","表示","reveal the key"
"byo.hideKey","Settings.BYO","button","Hide","隱藏","非表示","hide the key"
"byo.showKeyTitle","Settings.BYO","tooltip","Show key","顯示金鑰","キーを表示","eye button tooltip"
"byo.hideKeyTitle","Settings.BYO","tooltip","Hide key","隱藏金鑰","キーを非表示","eye button tooltip"
"byo.save","Settings.BYO","button","Save key","儲存金鑰","キーを保存","primary button"
"byo.saving","Settings.BYO","button","Saving…","儲存中…","保存中…","primary button busy state"
"byo.test","Settings.BYO","button","Test connection","測試連線","接続をテスト","secondary button"
"byo.testing","Settings.BYO","button","Testing…","測試中…","テスト中…","secondary button busy state"
"byo.needSaveFirst","Settings.BYO","tooltip","Save a key first","請先儲存金鑰","先にキーを保存してください","tooltip when test is disabled"
"byo.testOk","Settings.BYO","toast","{provider} API authenticated · {ms} ms","{provider} API 已驗證 · {ms} ms","{provider} API 認証成功 · {ms} ms","success feedback; interpolates provider label + latency"
"byo.keySaved","Settings.BYO","toast","{provider} key saved","已儲存 {provider} 金鑰","{provider} キーを保存しました","toast; interpolates provider label"
"byo.keySaveFailed","Settings.BYO","toast","Save failed: {error}","儲存失敗:{error}","保存に失敗:{error}","toast; error tail"
"byo.keyRemoved","Settings.BYO","toast","{provider} key removed","已移除 {provider} 金鑰","{provider} キーを削除しました","toast"
"byo.keyRemoveFailed","Settings.BYO","toast","Remove failed: {error}","移除失敗:{error}","削除に失敗:{error}","toast"
"byo.connected","Settings.BYO","badge","connected","已連線","接続済み","row status when a key is stored"
"byo.notConfigured","Settings.BYO","badge","not configured","未設定","未設定","row status when no key"
"byo.remove","Settings.BYO","button","Remove","移除","削除","row action"
"byo.confirmRemove","Settings.BYO","button","Confirm remove?","確認移除?","削除しますか?","two-step confirm"
"local.tag","Settings.Local","badge","B","B","B","the option tag"
"local.title","Settings.Local","title","Local model (Ollama)","本機模型(Ollama)","ローカルモデル(Ollama)","option title; 'Ollama' brand"
"local.body","Settings.Local","body","Point KN33C4P at your local Ollama server. Zero outbound; slower than cloud Sonnet but free.","讓 KN33C4P 連到你本機的 Ollama 伺服器。零外連;比雲端 Sonnet 慢但免費。","KN33C4Pをローカルの Ollama サーバーに接続します。外部送信ゼロ、クラウドの Sonnet より遅いが無料。","'Sonnet' = Claude model, brand — keep Latin"
"local.baseUrl","Settings.Local","option","Base URL","Base URL","ベースURL","input label"
"local.model","Settings.Local","option","Model","模型","モデル","input label"
"local.save","Settings.Local","button","Save","儲存","保存","primary"
"local.saving","Settings.Local","button","Saving…","儲存中…","保存中…","busy state"
"local.testPing","Settings.Local","button","Test ping","測試連線","Pingテスト","secondary"
"local.pinging","Settings.Local","button","Pinging…","連線中…","Ping中…","busy state"
"local.testOk","Settings.Local","toast","Ollama reachable · {ms} ms","Ollama 可連線 · {ms} ms","Ollama に到達 · {ms} ms","success feedback"
"local.saved","Settings.Local","toast","Local config saved","已儲存本機設定","ローカル設定を保存しました","toast"
"local.saveFailed","Settings.Local","toast","Save failed: {error}","儲存失敗:{error}","保存に失敗:{error}","toast"
"local.configured","Settings.Local","badge","configured","已設定","設定済み","row status"
"local.notConfigured","Settings.Local","badge","not configured","未設定","未設定","row status"
"vhs.tag","Settings.Vhs","badge","C","C","C","the option tag"
"vhs.title","Settings.Vhs","title","VHS-hosted","VHS 代管","VHSホスト版","option title"
"vhs.pillLinked","Settings.Vhs","badge","Linked","已連結","リンク済み","green pill when connected"
"vhs.pillNoKey","Settings.Vhs","badge","No API key needed","免 API 金鑰","APIキー不要","grey pill when disconnected"
"vhs.body","Settings.Vhs","body","Link your VHS account and KN33C4P uses the bundled hosted model — no API key on this Mac. Hosted generation is included in your subscription: at least 80 full reports a month with efficient prompts, and the leaner your prompts, the more you get. Track it on the usage gauge.","連結你的 VHS 帳號,KN33C4P 就會使用內建的代管模型 —— 這台 Mac 上不需要 API 金鑰。代管生成已包含在你的訂閱內:用精簡的提示詞,每月至少 80 份完整報告,提示詞越精簡,能生成的份數越多。可在用量計量表上追蹤。","VHSアカウントをリンクすると、KN33C4Pは内蔵のホスト版モデルを使用します —— このMacにAPIキーは不要です。ホスト版の生成はサブスクリプションに含まれます:効率的なプロンプトなら月に少なくとも80件のフルレポート、プロンプトが簡潔なほど生成数が増えます。使用状況ゲージで確認できます。","long body; 80 is the guaranteed monthly number"
"vhs.linked","Settings.Vhs","badge","linked","已連結","リンク済み","row status (lowercase)"
"vhs.unlink","Settings.Vhs","button","Unlink","取消連結","リンク解除","action"
"vhs.connect","Settings.Vhs","button","Connect to VHS","連結 VHS","VHSに接続","primary"
"vhs.starting","Settings.Vhs","button","Starting…","啟動中…","開始中…","busy state"
"vhs.cancel","Settings.Vhs","button","Cancel","取消","キャンセル","waiting-phase cancel"
"vhs.waitingP1","Settings.Vhs","body","1. A browser window opened to {url}. Sign in to VHS if asked.","1. 已開啟瀏覽器視窗到 {url}。如有要求請登入 VHS。","1. ブラウザで {url} を開きました。求められたらVHSにログインしてください。","interpolates URL"
"vhs.waitingP2","Settings.Vhs","body","2. Enter this code in the browser:","2. 在瀏覽器輸入這組代碼:","2. ブラウザでこのコードを入力してください:","step 2 prefix"
"vhs.waitingHint","Settings.Vhs","body","Waiting for you to approve in the browser…","等待你在瀏覽器中核准…","ブラウザでの承認を待っています…","muted status"
"vhs.codeExpired","Settings.Vhs","error","Code expired — start the connect again","代碼已過期 —— 請重新開始連結","コードの有効期限切れ —— 接続をやり直してください","device-code timeout"
"vhs.linkedToast","Settings.Vhs","toast","VHS-hosted linked · {name}","已連結 VHS 代管 · {name}","VHSホスト版をリンクしました · {name}","success; interpolates account name (may be empty)"
"vhs.unlinkedToast","Settings.Vhs","toast","VHS-hosted unlinked","已取消 VHS 代管連結","VHSホスト版のリンクを解除しました","toast"
"vhs.unlinkFailed","Settings.Vhs","toast","Unlink failed: {error}","取消連結失敗:{error}","リンク解除に失敗:{error}","toast"
"providerToggle.on","Provider.Toggle","badge","On","開","オン","switch label"
"providerToggle.off","Provider.Toggle","badge","Off","關","オフ","switch label"
"providerToggle.enable","Provider.Toggle","tooltip","Enable this provider","啟用此供應商","このプロバイダーを有効化","title on the switch"
"providerToggle.disable","Provider.Toggle","tooltip","Disable this provider","停用此供應商","このプロバイダーを無効化","title on the switch"
"quickMemo.title","QuickMemo","title","Quick Memo","快速備忘錄","クイックメモ","H2"
"quickMemo.sub","QuickMemo","body","URL or pasted text → one ~2-page memo. About 5 minutes including the round-trip.","網址或貼上文字 → 一份約 2 頁的備忘錄。含來回約 5 分鐘。","URLか貼り付けたテキスト → 約2ページのメモを1本。往復込みで約5分。","arrow → keep"
"quickMemo.disclaimer","Common","warning","⚠ Draft only — verify against the source before sharing or acting on it. LLM output can be subtly wrong or steered by hostile pages.","⚠ 僅為草稿 —— 分享或據以行動前請對照原始來源查證。LLM 輸出可能出現細微錯誤,或被惡意網頁誘導。","⚠ 下書きのみ —— 共有・実行前に必ず出典と照合してください。LLMの出力は微妙に誤ることや、悪意あるページに誘導されることがあります。","used verbatim in QuickMemo, IcReport, and Template generate; add once, reuse"
"quickMemo.templateLabel","QuickMemo","option","Template","範本","テンプレート","select label; shared with IcReport"
"quickMemo.memoSimple","QuickMemo","option","Simple memo (1-pager bullets)","簡易備忘錄(單頁條列)","シンプルメモ(1ページ・箇条書き)","MEMO_TEMPLATE_LABELS['simple-memo']"
"quickMemo.memoFull","QuickMemo","option","Full memo (2-page structured)","完整備忘錄(兩頁結構化)","フルメモ(2ページ・構造化)","MEMO_TEMPLATE_LABELS['full-memo']"
"quickMemo.noteLabel","QuickMemo","option","Note for the reader (optional)","給讀者的備註(選填)","読み手への備考(任意)","input label; also used in Template generate"
"quickMemo.notePlaceholder","QuickMemo","placeholder","e.g. founder is Stanford ME PhD; we already passed on similar at $20M","例如:創辦人是史丹佛機械工程博士;我們先前在 $20M 估值時放過類似案子","例:創業者はスタンフォードの機械工学博士;当社は過去に$20Mで類似案件を見送った","placeholder; specific example — Wei may want a localised example (Stanford → 台大 for zh?)"
"quickMemo.draft","QuickMemo","button","Draft memo","草擬備忘錄","メモを作成","primary"
"quickMemo.drafting","QuickMemo","button","Drafting…","草擬中…","作成中…","busy state; shared with IcReport section"
"quickMemo.saveToReport","Common","button","Save to report","儲存至報告","レポートに保存","shared button across QuickMemo/IcReport/Template generate"
"quickMemo.copyMemo","Common","button","Copy memo","複製備忘錄","メモをコピー","shared button"
"quickMemo.memoCopied","Common","toast","Memo copied","已複製備忘錄","メモをコピーしました","shared toast"
"quickMemo.sourceExcerpt","QuickMemo","body","Source excerpt","來源摘錄","出典の抜粋","collapsible summary"
"quickMemo.memoRaw","QuickMemo","title","Memo · raw","備忘錄 · 原始","メモ · 原文","editable textarea title"
"quickMemo.preview","Common","title","Preview","預覽","プレビュー","shared secondary title"
"ic.title","IcReport","title","Full IC Report","完整 IC 報告","フルICレポート","H2"
"ic.subSimple","IcReport","body","3 passes: Founder → Market → Compile. ~10 minutes.","3 輪:創辦人 → 市場 → 彙整。約 10 分鐘。","3パス:創業者 → 市場 → コンパイル。約10分。","shown for simple-ic"
"ic.subFull","IcReport","body","5 passes: Founder → Market → Traction → Terms → Compile. ~30 minutes.","5 輪:創辦人 → 市場 → 成長動能 → 條件 → 彙整。約 30 分鐘。","5パス:創業者 → 市場 → トラクション → 条件 → コンパイル。約30分。","shown for full-ic"
"ic.tplSimple","IcReport","option","Simple IC (3 sections)","簡易 IC(3 個章節)","シンプルIC(3セクション)","IC_TEMPLATE_LABELS['simple-ic']"
"ic.tplFull","IcReport","option","Full IC (5 sections + sub-blocks)","完整 IC(5 個章節 + 子區塊)","フルIC(5セクション + サブブロック)","IC_TEMPLATE_LABELS['full-ic']"
"ic.stageLabel","IcReport","option","Stage","階段","ステージ","select label"
"ic.stageAny","IcReport","option","(any stage)","(任一階段)","(任意のステージ)","STAGE_LABELS[''] — parentheses OK"
"ic.stagePreSeed","IcReport","option","Pre-seed (team + thesis)","Pre-seed(團隊 + 論點)","Pre-seed(チーム + 仮説)","STAGE_LABELS"
"ic.stageSeed","IcReport","option","Seed (early PMF)","Seed(早期 PMF)","Seed(初期PMF)","STAGE_LABELS; PMF = product-market fit, acronym OK"
"ic.stageSeriesA","IcReport","option","Series A (PMF + GTM)","Series A(PMF + GTM)","Series A(PMF + GTM)","STAGE_LABELS; GTM = go-to-market"
"ic.stageSeriesB","IcReport","option","Series B+ (scale econ)","Series B+(規模經濟)","Series B+(スケール経済)","STAGE_LABELS"
"ic.stageGrowth","IcReport","option","Growth (exit math)","Growth(退場試算)","Growth(イグジット試算)","STAGE_LABELS"
"ic.sectionFounder","IcReport","option","Founder & Team","創辦人與團隊","創業者とチーム","IC_LABELS['founder']"
"ic.sectionMarket","IcReport","option","Market","市場","市場","IC_LABELS['market']"
"ic.sectionTraction","IcReport","option","Product & Traction","產品與成長動能","プロダクトとトラクション","IC_LABELS['traction']"
"ic.sectionTerms","IcReport","option","Round & Terms","輪次與條件","ラウンドと条件","IC_LABELS['terms']"
"ic.sectionCompile","IcReport","option","Compiled Memo","彙整備忘錄","コンパイル済みメモ","IC_LABELS['compile']"
"ic.hintsFor","IcReport","option","Hints for {section} (optional)","{section} 的提示(選填)","{section} のヒント(任意)","input label; {section} = translated section label"
"ic.hintFounder","IcReport","placeholder","things the source doesn't say (e.g. previous co. exited)","來源沒提到的事(例如:前一家公司已退場)","出典に書かれていないこと(例:前の会社はイグジット済み)","placeholder"
"ic.hintMarket","IcReport","placeholder","specific incumbents to mention","想特別點名的現有業者","言及したい既存プレイヤー","placeholder"
"ic.hintTraction","IcReport","placeholder","what you want spelled out (pipeline, LOIs)","你想寫清楚的部分(pipeline、LOI)","明記したい点(パイプライン、LOI)","placeholder; LOI = letter of intent"
"ic.hintTerms","IcReport","placeholder","the asked-for check size","對方開的投資金額","提示された出資額","placeholder"
"ic.hintCompile","IcReport","placeholder","tone, voice, length","語氣、口吻、長度","トーン、文体、長さ","placeholder"
"ic.draftSection","IcReport","button","Draft section","草擬章節","セクションを作成","primary"
"ic.redraft","IcReport","button","Re-draft","重新草擬","再作成","primary when section already has content"
"ic.sectionRaw","IcReport","title","{section} · raw","{section} · 原始","{section} · 原文","editable textarea title; {section} = translated section label"
"source.tabUrl","Source.Input","button","From URL","從網址","URLから","tab"
"source.tabText","Source.Input","button","From pasted text","從貼上文字","貼り付けテキストから","tab"
"source.tabPdf","Source.Input","button","From PDF","從 PDF","PDFから","tab"
"source.urlPlaceholder","Source.Input","placeholder","https://acme.com or arxiv.org/abs/...","https://acme.com 或 arxiv.org/abs/...","https://acme.com または arxiv.org/abs/...","keep example URL Latin"
"source.textPlaceholder","Source.Input","placeholder","Paste website copy, founder bio, deck text…","貼上網站文案、創辦人簡歷、簡報文字…","ウェブサイトの文面、創業者略歴、デックのテキストを貼り付け…","textarea placeholder"
"source.pickPdf","Source.Input","button","Choose PDF file…","選擇 PDF 檔案…","PDFファイルを選択…","file picker button"
"source.pickAnotherPdf","Source.Input","button","Choose another PDF","選擇其他 PDF","別のPDFを選択","file picker after one selected"
"source.pdfHint","Source.Input","body","Pitch deck, white paper, founder one-pager. Text-based PDFs only — scanned / image-only PDFs need OCR (not supported yet).","募資簡報、白皮書、創辦人單頁介紹。僅支援文字型 PDF —— 掃描 / 純圖片 PDF 需要 OCR(尚未支援)。","ピッチデック、ホワイトペーパー、創業者ワンページャー。テキスト型PDFのみ —— スキャン/画像のみのPDFはOCRが必要(未対応)。","hint under the file picker; OCR = acronym OK"
"common.textOnlyPdfWarning","Common","warning","⚠️ This model reads text only — image/scanned PDFs (most pitch decks) extract almost nothing. Use a vision provider (VHS-hosted, Claude, or Gemini) to read decks.","⚠️ 此模型只讀文字 —— 圖片 / 掃描 PDF(多數募資簡報)幾乎抽不到內容。請改用具視覺能力的供應商(VHS 代管、Claude 或 Gemini)來讀簡報。","⚠️ このモデルはテキストのみ読み取ります —— 画像/スキャンPDF(多くのピッチデック)はほとんど抽出できません。デックを読むにはビジョン対応プロバイダー(VHSホスト版、Claude、Gemini)を使ってください。","shared across QuickMemo, IcReport, DealView NewVersion"
"templateEditor.back","TemplateEditor","button","← Back to Settings","← 返回設定","← 設定に戻る","back button"
"templateEditor.title","TemplateEditor","title","Template Editor","範本編輯器","テンプレートエディター","H2"
"templateEditor.sub","TemplateEditor","body","Override the built-in prompt for any template / section combination. Leave blank to use the default. The override replaces the structure block; source / hints / prior_sections wiring stays intact.","覆寫任一範本 / 章節組合的內建提示詞。留空則使用預設。覆寫會取代結構區塊;source / hints / prior_sections 的接線維持不變。","任意のテンプレート/セクションの組み合わせの内蔵プロンプトを上書きします。空欄でデフォルトを使用。上書きは構造ブロックを置き換え、source / hints / prior_sections の配線はそのまま維持されます。","long; 'prior_sections' is a code identifier — keep Latin"
"templateEditor.sectionLabel","TemplateEditor","option","Section","章節","セクション","select label"
"templateEditor.sectionMemo","TemplateEditor","option","Memo body","備忘錄內文","メモ本文","SECTION_LABELS['memo']"
"templateEditor.customPrompt","TemplateEditor","option","Custom prompt","自訂提示詞","カスタムプロンプト","textarea label"
"templateEditor.overrideActive","TemplateEditor","badge","override active","覆寫生效中","上書き有効","pill next to label when non-empty"
"templateEditor.placeholder","TemplateEditor","placeholder","Leave blank to use the built-in template prompt. When non-empty, this REPLACES the section body — the source, prior sections, hints, security warning, and stage guidance still wrap automatically.","留空則使用內建範本提示詞。非空白時,這會取代該章節內文 —— 來源、先前章節、提示、安全警告與階段指引仍會自動包覆。","空欄で内蔵テンプレートのプロンプトを使用。入力すると、そのセクション本文を置き換えます —— 出典、前セクション、ヒント、セキュリティ警告、ステージ指針は自動的に付加されます。","textarea placeholder"
"templateEditor.saveOverride","TemplateEditor","button","Save override","儲存覆寫","上書きを保存","primary"
"templateEditor.resetDefault","TemplateEditor","button","Reset to default","重設為預設","デフォルトに戻す","secondary"
"templateEditor.savedToast","TemplateEditor","toast","Saved override for {template} / {section}","已儲存 {template} / {section} 的覆寫","{template} / {section} の上書きを保存しました","toast"
"templateEditor.clearedToast","TemplateEditor","toast","Cleared override for {template} / {section}","已清除 {template} / {section} 的覆寫","{template} / {section} の上書きをクリアしました","toast"
"templateEditor.resetToast","TemplateEditor","toast","Reset {template} / {section} to default","已將 {template} / {section} 重設為預設","{template} / {section} をデフォルトに戻しました","toast"
"gallery.title","TemplateGallery","title","Report templates","報告範本","レポートテンプレート","H2 — same string as home card title"
"gallery.sub","TemplateGallery","body","Every report is built from blocks — each block holds its own layout, style, and the prompt that fills it. Browse a layout, edit it, or generate a report from it.","每份報告都由區塊組成 —— 每個區塊有自己的版面、樣式與填入內容的提示詞。瀏覽版面、編輯它,或用它生成報告。","各レポートはブロックで構成されます —— 各ブロックは独自のレイアウト、スタイル、内容を埋めるプロンプトを持ちます。レイアウトを閲覧・編集、またはそこからレポートを生成できます。","long body"
"gallery.blocksCount","TemplateGallery","body","{n} blocks","{n} 個區塊","{n} ブロック","tab meta; interpolates count"
"gallery.generateBtn","TemplateGallery","button","Generate a report","生成報告","レポートを生成","primary"
"gallery.duplicateEdit","TemplateGallery","button","Duplicate & edit","複製並編輯","複製して編集","starter template action"
"gallery.edit","TemplateGallery","button","Edit","編輯","編集","custom template action"
"gallery.delete","TemplateGallery","button","Delete","刪除","削除","custom template action"
"gallery.savedToast","TemplateGallery","toast","Template saved","已儲存範本","テンプレートを保存しました","toast"
"gallery.saveFailedToast","TemplateGallery","toast","Could not save template: {error}","無法儲存範本:{error}","テンプレートを保存できません:{error}","toast"
"gallery.deletedToast","TemplateGallery","toast","Template deleted","已刪除範本","テンプレートを削除しました","toast"
"gallery.deleteFailedToast","TemplateGallery","toast","Could not delete template: {error}","無法刪除範本:{error}","テンプレートを削除できません:{error}","toast"
"generate.back","Template.Generate","button","← Back to templates","← 返回範本","← テンプレートに戻る","back button"
"generate.title","Template.Generate","title","Generate · {templateName}","生成 · {templateName}","生成 · {templateName}","H2; interpolates template name"
"generate.sub","Template.Generate","body","{n} sections will be written from your source, one block at a time.","將依你的來源逐一區塊寫出 {n} 個章節。","出典から {n} セクションを、ブロックごとに書き出します。","sub-title; interpolates count"
"generate.primary","Template.Generate","button","Generate report","生成報告","レポートを生成","primary"
"generate.generating","Template.Generate","button","Generating…","生成中…","生成中…","busy state"
"generate.exportingPdf","Common","button","Exporting…","匯出中…","エクスポート中…","shared PDF/DOCX busy state"
"generate.exportPdf","Common","button","Export PDF","匯出 PDF","PDFをエクスポート","shared button"
"generate.exportDocx","Common","button","Export DOCX","匯出 DOCX","DOCXをエクスポート","shared button"
"generate.copyReport","Common","button","Copy report","複製報告","レポートをコピー","shared button"
"generate.reportCopied","Common","toast","Report copied","已複製報告","レポートをコピーしました","shared toast"
"generate.openPrintDialog","Common","toast","Opening print dialog — choose ""Save as PDF""","開啟列印對話框 —— 選擇「另存為 PDF」","印刷ダイアログを開いています —— 「PDFとして保存」を選択してください","shared toast; smart quotes in source"
"generate.pdfFailed","Common","toast","PDF export failed","PDF 匯出失敗","PDFエクスポートに失敗","shared toast"
"generate.docxSaved","Common","toast","Word document saved","已儲存 Word 文件","Word文書を保存しました","shared toast"
"generate.docxFailed","Common","toast","DOCX export failed","DOCX 匯出失敗","DOCXエクスポートに失敗","shared toast"
